MissRate F512 F4096 F32768 L512 L4096 L32768
32 0.016998 0.002331 0.000214 0.014390 0.001359 0.000146 
128 0.003905 0.000490 0.000136 0.003243 0.000449 0.000137 
512 0.002188 0.000446 0.000136 0.002057 0.000445 0.000136 
