MissRate F512 F4096 F32768 L512 L4096 L32768
32 0.003556 0.000487 0.000045 0.003002 0.000284 0.000030 
128 0.000818 0.000103 0.000028 0.000680 0.000094 0.000028 
512 0.000461 0.000094 0.000028 0.000432 0.000093 0.000028 
