MissRate F512 F4096 F32768 L512 L4096 L32768
32 0.000534 0.000061 0.000006 0.000457 0.000037 0.000004 
128 0.000120 0.000015 0.000004 0.000121 0.000013 0.000004 
512 0.000068 0.000013 0.000004 0.000064 0.000013 0.000004 
