MissRate F512 F4096 F32768 L512 L4096 L32768
32 0.017617 0.002419 0.000221 0.014877 0.001405 0.000151 
128 0.004041 0.000506 0.000141 0.003349 0.000464 0.000141 
512 0.002259 0.000461 0.000141 0.002119 0.000461 0.000141 
