MissRate F512 F4096 F32768 L512 L4096 L32768
32 0.004493 0.000619 0.000056 0.003799 0.000361 0.000038 
128 0.001048 0.000131 0.000036 0.000864 0.000120 0.000036 
512 0.000587 0.000119 0.000036 0.000550 0.000119 0.000036 
