MissRate F512 F4096 F32768 L512 L4096 L32768
32 0.000574 0.000072 0.000007 0.000491 0.000043 0.000005 
128 0.000133 0.000016 0.000005 0.000115 0.000015 0.000004 
512 0.000070 0.000014 0.000004 0.000072 0.000014 0.000004 
