MissRate F512 F4096 F32768 L512 L4096 L32768
32 0.000919 0.000042 0.000004 0.000689 0.000025 0.000003 
128 0.000075 0.000009 0.000002 0.000063 0.000008 0.000002 
512 0.000043 0.000008 0.000002 0.000041 0.000008 0.000002 
