MissRate F512 F4096 F32768 L512 L4096 L32768
32 0.005605 0.000790 0.000064 0.004523 0.000439 0.000043 
128 0.001249 0.000163 0.000043 0.000966 0.000143 0.000044 
512 0.000678 0.000145 0.000045 0.000589 0.000136 0.000044 
